## SLURM PROLOG ###############################################################
##    Job ID : 14742235
##  Job Name : Embeddings
##  Nodelist : gpu2004
##      CPUs : 1
##  Mem/Node : 32000 MB
## Directory : /oscar/scratch/jakhan/spatial-probing/scripts
##   Job Started : Mon Dec  8 12:40:33 PM EST 2025
###############################################################################

==========================================
Job started at: Mon Dec  8 12:40:36 PM EST 2025
Job ID: 14742235
Node: gpu2004
==========================================

GPU Information (from host):
Mon Dec  8 12:40:36 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.129.03             Driver Version: 535.129.03   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Quadro RTX 6000                On  | 00000000:61:00.0 Off |                  Off |
| 33%   27C    P8              16W / 260W |     22MiB / 24576MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     30537      G   /usr/libexec/Xorg                            20MiB |
+---------------------------------------------------------------------------------------+

PyTorch GPU Detection:
PT version: 2.7.1+cu118
Built with CUDA: True
GPUs detected: 1
GPU devices: ['Quadro RTX 6000']

==========================================
Installing dependencies
==========================================


==========================================
Starting main Python script at Mon Dec  8 12:40:42 PM EST 2025
==========================================

Working directory: /oscar/scratch/jakhan/spatial-probing/scripts

Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 21/45] Train Loss: 1.1001 | Test Loss: 1.0989 | Test Acc: 0.3355
[Epoch 22/45] Train Loss: 1.0992 | Test Loss: 1.0995 | Test Acc: 0.3285
[Epoch 23/45] Train Loss: 1.0993 | Test Loss: 1.1034 | Test Acc: 0.3285
[Epoch 24/45] Train Loss: 1.1012 | Test Loss: 1.0996 | Test Acc: 0.3285
[Epoch 25/45] Train Loss: 1.1006 | Test Loss: 1.1025 | Test Acc: 0.3285
[Epoch 26/45] Train Loss: 1.1007 | Test Loss: 1.0996 | Test Acc: 0.3285
[Epoch 27/45] Train Loss: 1.1000 | Test Loss: 1.1006 | Test Acc: 0.3285
[Epoch 28/45] Train Loss: 1.0997 | Test Loss: 1.0990 | Test Acc: 0.3355
[Epoch 29/45] Train Loss: 1.1006 | Test Loss: 1.0989 | Test Acc: 0.3355
[Epoch 30/45] Train Loss: 1.1005 | Test Loss: 1.0989 | Test Acc: 0.3355
[Epoch 31/45] Train Loss: 1.0992 | Test Loss: 1.1010 | Test Acc: 0.3355
[Epoch 32/45] Train Loss: 1.1016 | Test Loss: 1.1000 | Test Acc: 0.3355
[Epoch 33/45] Train Loss: 1.1000 | Test Loss: 1.0987 | Test Acc: 0.3360
[Epoch 34/45] Train Loss: 1.1001 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 35/45] Train Loss: 1.0996 | Test Loss: 1.0995 | Test Acc: 0.3360
[Epoch 36/45] Train Loss: 1.0997 | Test Loss: 1.0999 | Test Acc: 0.3355
[Epoch 37/45] Train Loss: 1.1002 | Test Loss: 1.1041 | Test Acc: 0.3285
[Epoch 38/45] Train Loss: 1.1000 | Test Loss: 1.1001 | Test Acc: 0.3360
[Epoch 39/45] Train Loss: 1.0996 | Test Loss: 1.1013 | Test Acc: 0.3285
[Epoch 40/45] Train Loss: 1.1001 | Test Loss: 1.0995 | Test Acc: 0.3285
[Epoch 41/45] Train Loss: 1.0997 | Test Loss: 1.0989 | Test Acc: 0.3355
[Epoch 42/45] Train Loss: 1.0998 | Test Loss: 1.0990 | Test Acc: 0.3355
[Epoch 43/45] Train Loss: 1.1001 | Test Loss: 1.1012 | Test Acc: 0.3355
[Epoch 44/45] Train Loss: 1.1004 | Test Loss: 1.0998 | Test Acc: 0.3355
[Epoch 45/45] Train Loss: 1.1000 | Test Loss: 1.0991 | Test Acc: 0.3360
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Size', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3884 | Test Loss: 1.3867 | Test Acc: 0.2430
[Epoch 2/45] Train Loss: 1.3873 | Test Loss: 1.3857 | Test Acc: 0.2530
[Epoch 3/45] Train Loss: 1.3889 | Test Loss: 1.3882 | Test Acc: 0.2430
[Epoch 4/45] Train Loss: 1.3876 | Test Loss: 1.3885 | Test Acc: 0.2430
[Epoch 5/45] Train Loss: 1.3894 | Test Loss: 1.3886 | Test Acc: 0.2430
[Epoch 6/45] Train Loss: 1.3885 | Test Loss: 1.3890 | Test Acc: 0.2430
[Epoch 7/45] Train Loss: 1.3886 | Test Loss: 1.3879 | Test Acc: 0.2430
[Epoch 8/45] Train Loss: 1.3875 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 9/45] Train Loss: 1.3877 | Test Loss: 1.3888 | Test Acc: 0.2430
[Epoch 10/45] Train Loss: 1.3881 | Test Loss: 1.3860 | Test Acc: 0.2610
[Epoch 11/45] Train Loss: 1.3878 | Test Loss: 1.3883 | Test Acc: 0.2430
[Epoch 12/45] Train Loss: 1.3885 | Test Loss: 1.3856 | Test Acc: 0.2610
[Epoch 13/45] Train Loss: 1.3878 | Test Loss: 1.3879 | Test Acc: 0.2430
[Epoch 14/45] Train Loss: 1.3877 | Test Loss: 1.3876 | Test Acc: 0.2430
[Epoch 15/45] Train Loss: 1.3890 | Test Loss: 1.3878 | Test Acc: 0.2610
[Epoch 16/45] Train Loss: 1.3880 | Test Loss: 1.3867 | Test Acc: 0.2430
[Epoch 17/45] Train Loss: 1.3882 | Test Loss: 1.3875 | Test Acc: 0.2430
[Epoch 18/45] Train Loss: 1.3887 | Test Loss: 1.3870 | Test Acc: 0.2430
[Epoch 19/45] Train Loss: 1.3879 | Test Loss: 1.3869 | Test Acc: 0.2530
[Epoch 20/45] Train Loss: 1.3885 | Test Loss: 1.3879 | Test Acc: 0.2430
[Epoch 21/45] Train Loss: 1.3868 | Test Loss: 1.3912 | Test Acc: 0.2430
[Epoch 22/45] Train Loss: 1.3887 | Test Loss: 1.3894 | Test Acc: 0.2430
[Epoch 23/45] Train Loss: 1.3885 | Test Loss: 1.3876 | Test Acc: 0.2430
[Epoch 24/45] Train Loss: 1.3891 | Test Loss: 1.3860 | Test Acc: 0.2610
[Epoch 25/45] Train Loss: 1.3879 | Test Loss: 1.3872 | Test Acc: 0.2430
[Epoch 26/45] Train Loss: 1.3883 | Test Loss: 1.3887 | Test Acc: 0.2430
[Epoch 27/45] Train Loss: 1.3874 | Test Loss: 1.3876 | Test Acc: 0.2530
[Epoch 28/45] Train Loss: 1.3872 | Test Loss: 1.3880 | Test Acc: 0.2530
[Epoch 29/45] Train Loss: 1.3880 | Test Loss: 1.3882 | Test Acc: 0.2430
[Epoch 30/45] Train Loss: 1.3874 | Test Loss: 1.3894 | Test Acc: 0.2430
[Epoch 31/45] Train Loss: 1.3885 | Test Loss: 1.3897 | Test Acc: 0.2430
[Epoch 32/45] Train Loss: 1.3875 | Test Loss: 1.3898 | Test Acc: 0.2430
[Epoch 33/45] Train Loss: 1.3885 | Test Loss: 1.3864 | Test Acc: 0.2430
[Epoch 34/45] Train Loss: 1.3882 | Test Loss: 1.3869 | Test Acc: 0.2530
[Epoch 35/45] Train Loss: 1.3885 | Test Loss: 1.3882 | Test Acc: 0.2530
[Epoch 36/45] Train Loss: 1.3879 | Test Loss: 1.3901 | Test Acc: 0.2530
[Epoch 37/45] Train Loss: 1.3878 | Test Loss: 1.3888 | Test Acc: 0.2530
[Epoch 38/45] Train Loss: 1.3881 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 39/45] Train Loss: 1.3886 | Test Loss: 1.3867 | Test Acc: 0.2430
[Epoch 40/45] Train Loss: 1.3878 | Test Loss: 1.3894 | Test Acc: 0.2530
[Epoch 41/45] Train Loss: 1.3883 | Test Loss: 1.3880 | Test Acc: 0.2430
[Epoch 42/45] Train Loss: 1.3884 | Test Loss: 1.3919 | Test Acc: 0.2430
[Epoch 43/45] Train Loss: 1.3883 | Test Loss: 1.3895 | Test Acc: 0.2430
[Epoch 44/45] Train Loss: 1.3881 | Test Loss: 1.3902 | Test Acc: 0.2430
[Epoch 45/45] Train Loss: 1.3878 | Test Loss: 1.3891 | Test Acc: 0.2430
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Color', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3882 | Test Loss: 1.3875 | Test Acc: 0.2445
[Epoch 2/45] Train Loss: 1.3882 | Test Loss: 1.3873 | Test Acc: 0.2380
[Epoch 3/45] Train Loss: 1.3882 | Test Loss: 1.3890 | Test Acc: 0.2425
[Epoch 4/45] Train Loss: 1.3881 | Test Loss: 1.3886 | Test Acc: 0.2425
[Epoch 5/45] Train Loss: 1.3876 | Test Loss: 1.3877 | Test Acc: 0.2425
[Epoch 6/45] Train Loss: 1.3876 | Test Loss: 1.3857 | Test Acc: 0.2425
[Epoch 7/45] Train Loss: 1.3878 | Test Loss: 1.3854 | Test Acc: 0.2750
[Epoch 8/45] Train Loss: 1.3879 | Test Loss: 1.3861 | Test Acc: 0.2380
[Epoch 9/45] Train Loss: 1.3876 | Test Loss: 1.3904 | Test Acc: 0.2425
[Epoch 10/45] Train Loss: 1.3889 | Test Loss: 1.3865 | Test Acc: 0.2445
[Epoch 11/45] Train Loss: 1.3881 | Test Loss: 1.3857 | Test Acc: 0.2750
[Epoch 12/45] Train Loss: 1.3886 | Test Loss: 1.3867 | Test Acc: 0.2445
[Epoch 13/45] Train Loss: 1.3873 | Test Loss: 1.3861 | Test Acc: 0.2425
[Epoch 14/45] Train Loss: 1.3875 | Test Loss: 1.3859 | Test Acc: 0.2445
[Epoch 15/45] Train Loss: 1.3884 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 16/45] Train Loss: 1.3881 | Test Loss: 1.3870 | Test Acc: 0.2445
[Epoch 17/45] Train Loss: 1.3884 | Test Loss: 1.3855 | Test Acc: 0.2750
[Epoch 18/45] Train Loss: 1.3871 | Test Loss: 1.3887 | Test Acc: 0.2425
[Epoch 19/45] Train Loss: 1.3891 | Test Loss: 1.3890 | Test Acc: 0.2380
[Epoch 20/45] Train Loss: 1.3884 | Test Loss: 1.3866 | Test Acc: 0.2445
[Epoch 21/45] Train Loss: 1.3878 | Test Loss: 1.3881 | Test Acc: 0.2445
[Epoch 22/45] Train Loss: 1.3884 | Test Loss: 1.3849 | Test Acc: 0.2750
[Epoch 23/45] Train Loss: 1.3881 | Test Loss: 1.3886 | Test Acc: 0.2425
[Epoch 24/45] Train Loss: 1.3885 | Test Loss: 1.3889 | Test Acc: 0.2425
[Epoch 25/45] Train Loss: 1.3874 | Test Loss: 1.3850 | Test Acc: 0.2750
[Epoch 26/45] Train Loss: 1.3877 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 27/45] Train Loss: 1.3882 | Test Loss: 1.3868 | Test Acc: 0.2380
[Epoch 28/45] Train Loss: 1.3881 | Test Loss: 1.3857 | Test Acc: 0.2750
[Epoch 29/45] Train Loss: 1.3877 | Test Loss: 1.3848 | Test Acc: 0.2750
[Epoch 30/45] Train Loss: 1.3875 | Test Loss: 1.3862 | Test Acc: 0.2425
[Epoch 31/45] Train Loss: 1.3880 | Test Loss: 1.3895 | Test Acc: 0.2425
[Epoch 32/45] Train Loss: 1.3889 | Test Loss: 1.3888 | Test Acc: 0.2425
[Epoch 33/45] Train Loss: 1.3876 | Test Loss: 1.3853 | Test Acc: 0.2750
[Epoch 34/45] Train Loss: 1.3877 | Test Loss: 1.3863 | Test Acc: 0.2750
[Epoch 35/45] Train Loss: 1.3887 | Test Loss: 1.3851 | Test Acc: 0.2750
[Epoch 36/45] Train Loss: 1.3875 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 37/45] Train Loss: 1.3879 | Test Loss: 1.3880 | Test Acc: 0.2425
[Epoch 38/45] Train Loss: 1.3876 | Test Loss: 1.3853 | Test Acc: 0.2445
[Epoch 39/45] Train Loss: 1.3877 | Test Loss: 1.3855 | Test Acc: 0.2750
[Epoch 40/45] Train Loss: 1.3887 | Test Loss: 1.3855 | Test Acc: 0.2445
[Epoch 41/45] Train Loss: 1.3877 | Test Loss: 1.3976 | Test Acc: 0.2380
[Epoch 42/45] Train Loss: 1.3888 | Test Loss: 1.3865 | Test Acc: 0.2750
[Epoch 43/45] Train Loss: 1.3874 | Test Loss: 1.3872 | Test Acc: 0.2425
[Epoch 44/45] Train Loss: 1.3879 | Test Loss: 1.3861 | Test Acc: 0.2425
[Epoch 45/45] Train Loss: 1.3870 | Test Loss: 1.3876 | Test Acc: 0.2445
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.1005 | Test Loss: 1.0989 | Test Acc: 0.3285
[Epoch 2/45] Train Loss: 1.0998 | Test Loss: 1.0988 | Test Acc: 0.3355
[Epoch 3/45] Train Loss: 1.0989 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 4/45] Train Loss: 1.0989 | Test Loss: 1.0988 | Test Acc: 0.3285
[Epoch 5/45] Train Loss: 1.0987 | Test Loss: 1.0991 | Test Acc: 0.3355
[Epoch 6/45] Train Loss: 1.0989 | Test Loss: 1.0988 | Test Acc: 0.3285
[Epoch 7/45] Train Loss: 1.0988 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 8/45] Train Loss: 1.0988 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 9/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 10/45] Train Loss: 1.0990 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 11/45] Train Loss: 1.0988 | Test Loss: 1.0987 | Test Acc: 0.3285
[Epoch 12/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 13/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 14/45] Train Loss: 1.0988 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 15/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 16/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 17/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3285
[Epoch 18/45] Train Loss: 1.0988 | Test Loss: 1.0987 | Test Acc: 0.3285
[Epoch 19/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3285
[Epoch 20/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 21/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 22/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 23/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 24/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 25/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 26/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 27/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 28/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 29/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 30/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 31/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 32/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 33/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 34/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 35/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 36/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 37/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 38/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 39/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 40/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 41/45] Train Loss: 1.0987 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 42/45] Train Loss: 1.0986 | Test Loss: 1.0987 | Test Acc: 0.3355
[Epoch 43/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 44/45] Train Loss: 1.0986 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 45/45] Train Loss: 1.0987 | Test Loss: 1.0986 | Test Acc: 0.3355
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Size', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3884 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 2/45] Train Loss: 1.3869 | Test Loss: 1.3861 | Test Acc: 0.2530
[Epoch 3/45] Train Loss: 1.3865 | Test Loss: 1.3859 | Test Acc: 0.2610
[Epoch 4/45] Train Loss: 1.3866 | Test Loss: 1.3862 | Test Acc: 0.2530
[Epoch 5/45] Train Loss: 1.3867 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 6/45] Train Loss: 1.3866 | Test Loss: 1.3861 | Test Acc: 0.2530
[Epoch 7/45] Train Loss: 1.3865 | Test Loss: 1.3865 | Test Acc: 0.2430
[Epoch 8/45] Train Loss: 1.3864 | Test Loss: 1.3863 | Test Acc: 0.2530
[Epoch 9/45] Train Loss: 1.3864 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 10/45] Train Loss: 1.3865 | Test Loss: 1.3862 | Test Acc: 0.2530
[Epoch 11/45] Train Loss: 1.3864 | Test Loss: 1.3863 | Test Acc: 0.2530
[Epoch 12/45] Train Loss: 1.3864 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 13/45] Train Loss: 1.3864 | Test Loss: 1.3868 | Test Acc: 0.2430
[Epoch 14/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 15/45] Train Loss: 1.3863 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 16/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 17/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 18/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 19/45] Train Loss: 1.3863 | Test Loss: 1.3865 | Test Acc: 0.2530
[Epoch 20/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 21/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 22/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 23/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 24/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 25/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 26/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 27/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 28/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 29/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 30/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 31/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 32/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 33/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 34/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 35/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 36/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 37/45] Train Loss: 1.3862 | Test Loss: 1.3867 | Test Acc: 0.2530
[Epoch 38/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 39/45] Train Loss: 1.3863 | Test Loss: 1.3869 | Test Acc: 0.2430
[Epoch 40/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 41/45] Train Loss: 1.3863 | Test Loss: 1.3866 | Test Acc: 0.2530
[Epoch 42/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 43/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 44/45] Train Loss: 1.3863 | Test Loss: 1.3868 | Test Acc: 0.2530
[Epoch 45/45] Train Loss: 1.3863 | Test Loss: 1.3867 | Test Acc: 0.2530
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Color', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3889 | Test Loss: 1.3857 | Test Acc: 0.2750
[Epoch 2/45] Train Loss: 1.3868 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 3/45] Train Loss: 1.3866 | Test Loss: 1.3854 | Test Acc: 0.2750
[Epoch 4/45] Train Loss: 1.3867 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 5/45] Train Loss: 1.3865 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 6/45] Train Loss: 1.3864 | Test Loss: 1.3856 | Test Acc: 0.2750
[Epoch 7/45] Train Loss: 1.3864 | Test Loss: 1.3857 | Test Acc: 0.2425
[Epoch 8/45] Train Loss: 1.3864 | Test Loss: 1.3861 | Test Acc: 0.2425
[Epoch 9/45] Train Loss: 1.3863 | Test Loss: 1.3858 | Test Acc: 0.2750
[Epoch 10/45] Train Loss: 1.3863 | Test Loss: 1.3860 | Test Acc: 0.2425
[Epoch 11/45] Train Loss: 1.3864 | Test Loss: 1.3857 | Test Acc: 0.2750
[Epoch 12/45] Train Loss: 1.3863 | Test Loss: 1.3857 | Test Acc: 0.2750
[Epoch 13/45] Train Loss: 1.3863 | Test Loss: 1.3857 | Test Acc: 0.2750
