## SLURM PROLOG ###############################################################
##    Job ID : 14741810
##  Job Name : Embeddings
##  Nodelist : gpu2007
##      CPUs : 1
##  Mem/Node : 32000 MB
## Directory : /oscar/scratch/jakhan/spatial-probing/scripts
##   Job Started : Mon Dec  8 11:49:35 AM EST 2025
###############################################################################

==========================================
Job started at: Mon Dec  8 11:49:38 AM EST 2025
Job ID: 14741810
Node: gpu2007
==========================================

GPU Information (from host):
Mon Dec  8 11:49:38 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.129.03             Driver Version: 535.129.03   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Quadro RTX 6000                On  | 00000000:40:00.0 Off |                  Off |
| 34%   26C    P8               5W / 260W |     10MiB / 24576MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     30714      G   /usr/libexec/Xorg                             8MiB |
+---------------------------------------------------------------------------------------+

PyTorch GPU Detection:
PT version: 2.7.1+cu118
Built with CUDA: True
GPUs detected: 1
GPU devices: ['Quadro RTX 6000']

==========================================
Installing dependencies
==========================================


==========================================
Starting main Python script at Mon Dec  8 11:49:41 AM EST 2025
==========================================

Working directory: /oscar/scratch/jakhan/spatial-probing/scripts

Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 21/45] Train Loss: 1.0948 | Test Loss: 1.0956 | Test Acc: 0.3690
[Epoch 22/45] Train Loss: 1.0939 | Test Loss: 1.0975 | Test Acc: 0.3730
[Epoch 23/45] Train Loss: 1.0938 | Test Loss: 1.0996 | Test Acc: 0.3435
[Epoch 24/45] Train Loss: 1.0939 | Test Loss: 1.0941 | Test Acc: 0.3820
[Epoch 25/45] Train Loss: 1.0930 | Test Loss: 1.0948 | Test Acc: 0.3495
[Epoch 26/45] Train Loss: 1.0923 | Test Loss: 1.0942 | Test Acc: 0.3500
[Epoch 27/45] Train Loss: 1.0923 | Test Loss: 1.0969 | Test Acc: 0.3425
[Epoch 28/45] Train Loss: 1.0929 | Test Loss: 1.0928 | Test Acc: 0.3735
[Epoch 29/45] Train Loss: 1.0912 | Test Loss: 1.0967 | Test Acc: 0.3415
[Epoch 30/45] Train Loss: 1.0925 | Test Loss: 1.0926 | Test Acc: 0.3870
[Epoch 31/45] Train Loss: 1.0925 | Test Loss: 1.0925 | Test Acc: 0.3935
[Epoch 32/45] Train Loss: 1.0914 | Test Loss: 1.0927 | Test Acc: 0.3560
[Epoch 33/45] Train Loss: 1.0912 | Test Loss: 1.0931 | Test Acc: 0.3830
[Epoch 34/45] Train Loss: 1.0913 | Test Loss: 1.0921 | Test Acc: 0.4005
[Epoch 35/45] Train Loss: 1.0915 | Test Loss: 1.0968 | Test Acc: 0.3555
[Epoch 36/45] Train Loss: 1.0910 | Test Loss: 1.0918 | Test Acc: 0.3795
[Epoch 37/45] Train Loss: 1.0898 | Test Loss: 1.0919 | Test Acc: 0.3555
[Epoch 38/45] Train Loss: 1.0899 | Test Loss: 1.0940 | Test Acc: 0.3320
[Epoch 39/45] Train Loss: 1.0915 | Test Loss: 1.0919 | Test Acc: 0.3595
[Epoch 40/45] Train Loss: 1.0904 | Test Loss: 1.0932 | Test Acc: 0.3380
[Epoch 41/45] Train Loss: 1.0898 | Test Loss: 1.0926 | Test Acc: 0.3335
[Epoch 42/45] Train Loss: 1.0893 | Test Loss: 1.0911 | Test Acc: 0.4025
[Epoch 43/45] Train Loss: 1.0897 | Test Loss: 1.0920 | Test Acc: 0.3820
[Epoch 44/45] Train Loss: 1.0887 | Test Loss: 1.0904 | Test Acc: 0.3890
[Epoch 45/45] Train Loss: 1.0891 | Test Loss: 1.0942 | Test Acc: 0.3380
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Size', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3869 | Test Loss: 1.3865 | Test Acc: 0.2850
[Epoch 2/45] Train Loss: 1.3857 | Test Loss: 1.3853 | Test Acc: 0.2875
[Epoch 3/45] Train Loss: 1.3859 | Test Loss: 1.3827 | Test Acc: 0.2855
[Epoch 4/45] Train Loss: 1.3838 | Test Loss: 1.3805 | Test Acc: 0.2650
[Epoch 5/45] Train Loss: 1.3818 | Test Loss: 1.3800 | Test Acc: 0.2710
[Epoch 6/45] Train Loss: 1.3809 | Test Loss: 1.3787 | Test Acc: 0.3115
[Epoch 7/45] Train Loss: 1.3789 | Test Loss: 1.3788 | Test Acc: 0.2620
[Epoch 8/45] Train Loss: 1.3786 | Test Loss: 1.3784 | Test Acc: 0.3230
[Epoch 9/45] Train Loss: 1.3773 | Test Loss: 1.3752 | Test Acc: 0.2970
[Epoch 10/45] Train Loss: 1.3759 | Test Loss: 1.3753 | Test Acc: 0.2745
[Epoch 11/45] Train Loss: 1.3754 | Test Loss: 1.3741 | Test Acc: 0.2970
[Epoch 12/45] Train Loss: 1.3731 | Test Loss: 1.3721 | Test Acc: 0.2720
[Epoch 13/45] Train Loss: 1.3712 | Test Loss: 1.3714 | Test Acc: 0.3625
[Epoch 14/45] Train Loss: 1.3704 | Test Loss: 1.3744 | Test Acc: 0.3240
[Epoch 15/45] Train Loss: 1.3713 | Test Loss: 1.3704 | Test Acc: 0.3410
[Epoch 16/45] Train Loss: 1.3693 | Test Loss: 1.3702 | Test Acc: 0.3250
[Epoch 17/45] Train Loss: 1.3670 | Test Loss: 1.3718 | Test Acc: 0.3220
[Epoch 18/45] Train Loss: 1.3662 | Test Loss: 1.3699 | Test Acc: 0.2710
[Epoch 19/45] Train Loss: 1.3655 | Test Loss: 1.3670 | Test Acc: 0.3145
[Epoch 20/45] Train Loss: 1.3642 | Test Loss: 1.3688 | Test Acc: 0.3085
[Epoch 21/45] Train Loss: 1.3644 | Test Loss: 1.3623 | Test Acc: 0.3330
[Epoch 22/45] Train Loss: 1.3621 | Test Loss: 1.3671 | Test Acc: 0.2730
[Epoch 23/45] Train Loss: 1.3610 | Test Loss: 1.3611 | Test Acc: 0.3855
[Epoch 24/45] Train Loss: 1.3599 | Test Loss: 1.3620 | Test Acc: 0.3515
[Epoch 25/45] Train Loss: 1.3587 | Test Loss: 1.3593 | Test Acc: 0.3520
[Epoch 26/45] Train Loss: 1.3577 | Test Loss: 1.3578 | Test Acc: 0.3905
[Epoch 27/45] Train Loss: 1.3565 | Test Loss: 1.3595 | Test Acc: 0.3430
[Epoch 28/45] Train Loss: 1.3548 | Test Loss: 1.3558 | Test Acc: 0.3335
[Epoch 29/45] Train Loss: 1.3551 | Test Loss: 1.3571 | Test Acc: 0.3695
[Epoch 30/45] Train Loss: 1.3531 | Test Loss: 1.3587 | Test Acc: 0.3345
[Epoch 31/45] Train Loss: 1.3539 | Test Loss: 1.3545 | Test Acc: 0.2860
[Epoch 32/45] Train Loss: 1.3522 | Test Loss: 1.3576 | Test Acc: 0.3320
[Epoch 33/45] Train Loss: 1.3513 | Test Loss: 1.3532 | Test Acc: 0.3120
[Epoch 34/45] Train Loss: 1.3504 | Test Loss: 1.3496 | Test Acc: 0.4010
[Epoch 35/45] Train Loss: 1.3501 | Test Loss: 1.3525 | Test Acc: 0.3960
[Epoch 36/45] Train Loss: 1.3487 | Test Loss: 1.3532 | Test Acc: 0.3380
[Epoch 37/45] Train Loss: 1.3476 | Test Loss: 1.3509 | Test Acc: 0.3765
[Epoch 38/45] Train Loss: 1.3464 | Test Loss: 1.3490 | Test Acc: 0.3640
[Epoch 39/45] Train Loss: 1.3456 | Test Loss: 1.3476 | Test Acc: 0.3880
[Epoch 40/45] Train Loss: 1.3446 | Test Loss: 1.3483 | Test Acc: 0.3850
[Epoch 41/45] Train Loss: 1.3446 | Test Loss: 1.3450 | Test Acc: 0.3895
[Epoch 42/45] Train Loss: 1.3429 | Test Loss: 1.3507 | Test Acc: 0.3410
[Epoch 43/45] Train Loss: 1.3431 | Test Loss: 1.3435 | Test Acc: 0.4060
[Epoch 44/45] Train Loss: 1.3423 | Test Loss: 1.3479 | Test Acc: 0.3490
[Epoch 45/45] Train Loss: 1.3413 | Test Loss: 1.3419 | Test Acc: 0.3975
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Color', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3867 | Test Loss: 1.3849 | Test Acc: 0.2445
[Epoch 2/45] Train Loss: 1.3861 | Test Loss: 1.3844 | Test Acc: 0.2435
[Epoch 3/45] Train Loss: 1.3841 | Test Loss: 1.3851 | Test Acc: 0.2425
[Epoch 4/45] Train Loss: 1.3838 | Test Loss: 1.3815 | Test Acc: 0.2715
[Epoch 5/45] Train Loss: 1.3822 | Test Loss: 1.3811 | Test Acc: 0.2680
[Epoch 6/45] Train Loss: 1.3805 | Test Loss: 1.3778 | Test Acc: 0.2725
[Epoch 7/45] Train Loss: 1.3800 | Test Loss: 1.3793 | Test Acc: 0.2975
[Epoch 8/45] Train Loss: 1.3775 | Test Loss: 1.3751 | Test Acc: 0.2740
[Epoch 9/45] Train Loss: 1.3777 | Test Loss: 1.3744 | Test Acc: 0.3005
[Epoch 10/45] Train Loss: 1.3762 | Test Loss: 1.3761 | Test Acc: 0.3100
[Epoch 11/45] Train Loss: 1.3758 | Test Loss: 1.3827 | Test Acc: 0.3260
[Epoch 12/45] Train Loss: 1.3756 | Test Loss: 1.3726 | Test Acc: 0.3085
[Epoch 13/45] Train Loss: 1.3737 | Test Loss: 1.3755 | Test Acc: 0.3415
[Epoch 14/45] Train Loss: 1.3725 | Test Loss: 1.3703 | Test Acc: 0.2925
[Epoch 15/45] Train Loss: 1.3718 | Test Loss: 1.3686 | Test Acc: 0.3050
[Epoch 16/45] Train Loss: 1.3700 | Test Loss: 1.3688 | Test Acc: 0.2840
[Epoch 17/45] Train Loss: 1.3707 | Test Loss: 1.3720 | Test Acc: 0.3530
[Epoch 18/45] Train Loss: 1.3693 | Test Loss: 1.3710 | Test Acc: 0.3255
[Epoch 19/45] Train Loss: 1.3683 | Test Loss: 1.3657 | Test Acc: 0.2730
[Epoch 20/45] Train Loss: 1.3676 | Test Loss: 1.3671 | Test Acc: 0.3035
[Epoch 21/45] Train Loss: 1.3667 | Test Loss: 1.3634 | Test Acc: 0.2920
[Epoch 22/45] Train Loss: 1.3660 | Test Loss: 1.3666 | Test Acc: 0.3070
[Epoch 23/45] Train Loss: 1.3658 | Test Loss: 1.3645 | Test Acc: 0.3365
[Epoch 24/45] Train Loss: 1.3660 | Test Loss: 1.3632 | Test Acc: 0.3340
[Epoch 25/45] Train Loss: 1.3643 | Test Loss: 1.3634 | Test Acc: 0.3255
[Epoch 26/45] Train Loss: 1.3628 | Test Loss: 1.3609 | Test Acc: 0.3135
[Epoch 27/45] Train Loss: 1.3635 | Test Loss: 1.3598 | Test Acc: 0.2800
[Epoch 28/45] Train Loss: 1.3625 | Test Loss: 1.3622 | Test Acc: 0.3470
[Epoch 29/45] Train Loss: 1.3621 | Test Loss: 1.3642 | Test Acc: 0.2830
[Epoch 30/45] Train Loss: 1.3613 | Test Loss: 1.3581 | Test Acc: 0.3140
[Epoch 31/45] Train Loss: 1.3598 | Test Loss: 1.3574 | Test Acc: 0.3115
[Epoch 32/45] Train Loss: 1.3593 | Test Loss: 1.3605 | Test Acc: 0.3205
[Epoch 33/45] Train Loss: 1.3594 | Test Loss: 1.3588 | Test Acc: 0.3245
[Epoch 34/45] Train Loss: 1.3583 | Test Loss: 1.3564 | Test Acc: 0.3220
[Epoch 35/45] Train Loss: 1.3569 | Test Loss: 1.3607 | Test Acc: 0.3450
[Epoch 36/45] Train Loss: 1.3573 | Test Loss: 1.3549 | Test Acc: 0.2940
[Epoch 37/45] Train Loss: 1.3574 | Test Loss: 1.3564 | Test Acc: 0.3560
[Epoch 38/45] Train Loss: 1.3558 | Test Loss: 1.3570 | Test Acc: 0.3635
[Epoch 39/45] Train Loss: 1.3558 | Test Loss: 1.3551 | Test Acc: 0.3270
[Epoch 40/45] Train Loss: 1.3538 | Test Loss: 1.3579 | Test Acc: 0.3090
[Epoch 41/45] Train Loss: 1.3553 | Test Loss: 1.3557 | Test Acc: 0.3635
[Epoch 42/45] Train Loss: 1.3546 | Test Loss: 1.3530 | Test Acc: 0.3340
[Epoch 43/45] Train Loss: 1.3527 | Test Loss: 1.3626 | Test Acc: 0.3490
[Epoch 44/45] Train Loss: 1.3540 | Test Loss: 1.3572 | Test Acc: 0.3430
[Epoch 45/45] Train Loss: 1.3530 | Test Loss: 1.3541 | Test Acc: 0.3285
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.1007 | Test Loss: 1.1016 | Test Acc: 0.3355
[Epoch 2/45] Train Loss: 1.0994 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 3/45] Train Loss: 1.0994 | Test Loss: 1.0986 | Test Acc: 0.3285
[Epoch 4/45] Train Loss: 1.0985 | Test Loss: 1.0984 | Test Acc: 0.3355
[Epoch 5/45] Train Loss: 1.0987 | Test Loss: 1.0983 | Test Acc: 0.3340
[Epoch 6/45] Train Loss: 1.0992 | Test Loss: 1.0986 | Test Acc: 0.3355
[Epoch 7/45] Train Loss: 1.0986 | Test Loss: 1.0984 | Test Acc: 0.3355
[Epoch 8/45] Train Loss: 1.0986 | Test Loss: 1.0984 | Test Acc: 0.3355
[Epoch 9/45] Train Loss: 1.0987 | Test Loss: 1.0983 | Test Acc: 0.3355
[Epoch 10/45] Train Loss: 1.0985 | Test Loss: 1.0990 | Test Acc: 0.3355
[Epoch 11/45] Train Loss: 1.0987 | Test Loss: 1.0982 | Test Acc: 0.3410
[Epoch 12/45] Train Loss: 1.0982 | Test Loss: 1.0984 | Test Acc: 0.3355
[Epoch 13/45] Train Loss: 1.0983 | Test Loss: 1.0980 | Test Acc: 0.3370
[Epoch 14/45] Train Loss: 1.0980 | Test Loss: 1.0977 | Test Acc: 0.3355
[Epoch 15/45] Train Loss: 1.0978 | Test Loss: 1.0975 | Test Acc: 0.3405
[Epoch 16/45] Train Loss: 1.0972 | Test Loss: 1.0972 | Test Acc: 0.3420
[Epoch 17/45] Train Loss: 1.0972 | Test Loss: 1.0969 | Test Acc: 0.3365
[Epoch 18/45] Train Loss: 1.0968 | Test Loss: 1.0966 | Test Acc: 0.3680
[Epoch 19/45] Train Loss: 1.0958 | Test Loss: 1.0961 | Test Acc: 0.3690
[Epoch 20/45] Train Loss: 1.0957 | Test Loss: 1.0965 | Test Acc: 0.3590
[Epoch 21/45] Train Loss: 1.0949 | Test Loss: 1.0964 | Test Acc: 0.3350
[Epoch 22/45] Train Loss: 1.0940 | Test Loss: 1.0977 | Test Acc: 0.3335
[Epoch 23/45] Train Loss: 1.0954 | Test Loss: 1.0937 | Test Acc: 0.3835
[Epoch 24/45] Train Loss: 1.0925 | Test Loss: 1.0938 | Test Acc: 0.3560
[Epoch 25/45] Train Loss: 1.0918 | Test Loss: 1.0922 | Test Acc: 0.3525
[Epoch 26/45] Train Loss: 1.0901 | Test Loss: 1.0924 | Test Acc: 0.3670
[Epoch 27/45] Train Loss: 1.0909 | Test Loss: 1.0906 | Test Acc: 0.3815
[Epoch 28/45] Train Loss: 1.0884 | Test Loss: 1.0900 | Test Acc: 0.3750
[Epoch 29/45] Train Loss: 1.0877 | Test Loss: 1.0883 | Test Acc: 0.4005
[Epoch 30/45] Train Loss: 1.0863 | Test Loss: 1.0887 | Test Acc: 0.3830
[Epoch 31/45] Train Loss: 1.0858 | Test Loss: 1.0884 | Test Acc: 0.3705
[Epoch 32/45] Train Loss: 1.0855 | Test Loss: 1.0882 | Test Acc: 0.3790
[Epoch 33/45] Train Loss: 1.0835 | Test Loss: 1.0861 | Test Acc: 0.3855
[Epoch 34/45] Train Loss: 1.0835 | Test Loss: 1.0894 | Test Acc: 0.3590
[Epoch 35/45] Train Loss: 1.0813 | Test Loss: 1.0836 | Test Acc: 0.3870
[Epoch 36/45] Train Loss: 1.0835 | Test Loss: 1.0827 | Test Acc: 0.4115
[Epoch 37/45] Train Loss: 1.0788 | Test Loss: 1.0851 | Test Acc: 0.3805
[Epoch 38/45] Train Loss: 1.0792 | Test Loss: 1.0836 | Test Acc: 0.3775
[Epoch 39/45] Train Loss: 1.0788 | Test Loss: 1.0873 | Test Acc: 0.3565
[Epoch 40/45] Train Loss: 1.0769 | Test Loss: 1.0796 | Test Acc: 0.4105
[Epoch 41/45] Train Loss: 1.0753 | Test Loss: 1.0786 | Test Acc: 0.4090
[Epoch 42/45] Train Loss: 1.0751 | Test Loss: 1.0919 | Test Acc: 0.3665
[Epoch 43/45] Train Loss: 1.0760 | Test Loss: 1.0787 | Test Acc: 0.4000
[Epoch 44/45] Train Loss: 1.0733 | Test Loss: 1.0775 | Test Acc: 0.4045
[Epoch 45/45] Train Loss: 1.0696 | Test Loss: 1.0765 | Test Acc: 0.4120
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Size', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3890 | Test Loss: 1.3862 | Test Acc: 0.2430
[Epoch 2/45] Train Loss: 1.3857 | Test Loss: 1.3847 | Test Acc: 0.2460
[Epoch 3/45] Train Loss: 1.3850 | Test Loss: 1.3855 | Test Acc: 0.2430
[Epoch 4/45] Train Loss: 1.3831 | Test Loss: 1.3815 | Test Acc: 0.2515
[Epoch 5/45] Train Loss: 1.3800 | Test Loss: 1.3801 | Test Acc: 0.2680
[Epoch 6/45] Train Loss: 1.3735 | Test Loss: 1.3668 | Test Acc: 0.3250
[Epoch 7/45] Train Loss: 1.3649 | Test Loss: 1.3638 | Test Acc: 0.3205
[Epoch 8/45] Train Loss: 1.3552 | Test Loss: 1.3467 | Test Acc: 0.3515
[Epoch 9/45] Train Loss: 1.3425 | Test Loss: 1.4262 | Test Acc: 0.2480
[Epoch 10/45] Train Loss: 1.3459 | Test Loss: 1.3277 | Test Acc: 0.3480
[Epoch 11/45] Train Loss: 1.3273 | Test Loss: 1.3187 | Test Acc: 0.3850
[Epoch 12/45] Train Loss: 1.3185 | Test Loss: 1.3140 | Test Acc: 0.3450
[Epoch 13/45] Train Loss: 1.3097 | Test Loss: 1.3027 | Test Acc: 0.3390
[Epoch 14/45] Train Loss: 1.3005 | Test Loss: 1.2954 | Test Acc: 0.3590
[Epoch 15/45] Train Loss: 1.2945 | Test Loss: 1.2846 | Test Acc: 0.4040
[Epoch 16/45] Train Loss: 1.2843 | Test Loss: 1.2820 | Test Acc: 0.3865
[Epoch 17/45] Train Loss: 1.2771 | Test Loss: 1.2703 | Test Acc: 0.4030
[Epoch 18/45] Train Loss: 1.2704 | Test Loss: 1.2886 | Test Acc: 0.3665
[Epoch 19/45] Train Loss: 1.2640 | Test Loss: 1.2583 | Test Acc: 0.3975
[Epoch 20/45] Train Loss: 1.2601 | Test Loss: 1.2550 | Test Acc: 0.4045
[Epoch 21/45] Train Loss: 1.2527 | Test Loss: 1.2789 | Test Acc: 0.3855
[Epoch 22/45] Train Loss: 1.2484 | Test Loss: 1.2666 | Test Acc: 0.3735
[Epoch 23/45] Train Loss: 1.2494 | Test Loss: 1.2423 | Test Acc: 0.4185
[Epoch 24/45] Train Loss: 1.2393 | Test Loss: 1.2344 | Test Acc: 0.4255
[Epoch 25/45] Train Loss: 1.2404 | Test Loss: 1.2336 | Test Acc: 0.4115
[Epoch 26/45] Train Loss: 1.2318 | Test Loss: 1.2268 | Test Acc: 0.4305
[Epoch 27/45] Train Loss: 1.2268 | Test Loss: 1.2195 | Test Acc: 0.4300
[Epoch 28/45] Train Loss: 1.2210 | Test Loss: 1.2201 | Test Acc: 0.4390
[Epoch 29/45] Train Loss: 1.2275 | Test Loss: 1.2163 | Test Acc: 0.4280
[Epoch 30/45] Train Loss: 1.2221 | Test Loss: 1.2097 | Test Acc: 0.4340
[Epoch 31/45] Train Loss: 1.2125 | Test Loss: 1.2092 | Test Acc: 0.4360
[Epoch 32/45] Train Loss: 1.2073 | Test Loss: 1.2088 | Test Acc: 0.4280
[Epoch 33/45] Train Loss: 1.2044 | Test Loss: 1.2067 | Test Acc: 0.4400
[Epoch 34/45] Train Loss: 1.2019 | Test Loss: 1.1996 | Test Acc: 0.4395
[Epoch 35/45] Train Loss: 1.2039 | Test Loss: 1.2029 | Test Acc: 0.4500
[Epoch 36/45] Train Loss: 1.2056 | Test Loss: 1.1919 | Test Acc: 0.4550
[Epoch 37/45] Train Loss: 1.1953 | Test Loss: 1.1902 | Test Acc: 0.4450
[Epoch 38/45] Train Loss: 1.1905 | Test Loss: 1.1901 | Test Acc: 0.4410
[Epoch 39/45] Train Loss: 1.1865 | Test Loss: 1.1865 | Test Acc: 0.4515
[Epoch 40/45] Train Loss: 1.1910 | Test Loss: 1.1916 | Test Acc: 0.4485
[Epoch 41/45] Train Loss: 1.1947 | Test Loss: 1.2140 | Test Acc: 0.4210
[Epoch 42/45] Train Loss: 1.1847 | Test Loss: 1.1848 | Test Acc: 0.4450
[Epoch 43/45] Train Loss: 1.1779 | Test Loss: 1.1830 | Test Acc: 0.4460
[Epoch 44/45] Train Loss: 1.1831 | Test Loss: 1.1885 | Test Acc: 0.4400
[Epoch 45/45] Train Loss: 1.1724 | Test Loss: 1.1709 | Test Acc: 0.4550
Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='MLP', dataset_name='RAVEN', data_config='center_single', task='Color', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.3882 | Test Loss: 1.3880 | Test Acc: 0.2930
[Epoch 2/45] Train Loss: 1.3857 | Test Loss: 1.3881 | Test Acc: 0.2425
[Epoch 3/45] Train Loss: 1.3848 | Test Loss: 1.3838 | Test Acc: 0.2585
[Epoch 4/45] Train Loss: 1.3837 | Test Loss: 1.3825 | Test Acc: 0.2675
[Epoch 5/45] Train Loss: 1.3813 | Test Loss: 1.3799 | Test Acc: 0.3085
[Epoch 6/45] Train Loss: 1.3793 | Test Loss: 1.3744 | Test Acc: 0.2865
[Epoch 7/45] Train Loss: 1.3767 | Test Loss: 1.3715 | Test Acc: 0.2950
[Epoch 8/45] Train Loss: 1.3743 | Test Loss: 1.3692 | Test Acc: 0.3005
[Epoch 9/45] Train Loss: 1.3702 | Test Loss: 1.3631 | Test Acc: 0.3045
[Epoch 10/45] Train Loss: 1.3669 | Test Loss: 1.3636 | Test Acc: 0.3060
[Epoch 11/45] Train Loss: 1.3626 | Test Loss: 1.3564 | Test Acc: 0.3410
[Epoch 12/45] Train Loss: 1.3580 | Test Loss: 1.3585 | Test Acc: 0.3440
[Epoch 13/45] Train Loss: 1.3532 | Test Loss: 1.3459 | Test Acc: 0.3140
